French,English
chercher,search
police,police
pensais,thought
aide,help
mettre,to put
aucun,no
laisse,leash
eux,them
arrivé,come
devrait,should
bébé,baby
longtemps,long time
place,square
compris,understood
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
main,hand
première,first
sois,be
venu,came
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
